,translation_G1_1,translation_G1_2,translation_G1_3,translation_G2M_1,translation_G2M_2,translation_G2M_3,translation_MG1_1,translation_MG1_2,translation_MG1_3,translation_S_1,translation_S_2,translation_S_3
68,23.74026,24.00676,24.45419,24.13289,23.54286,24.8918,24.035320000000002,24.504579999999997,23.363329999999998,23.77917,23.846420000000002,23.79729
69,24.51971,24.44891,25.41355,24.23951,23.6536,24.37696,24.27923,23.65436,23.68656,23.773039999999998,23.63556,24.728479999999998
70,25.28584,25.28086,25.41009,25.58072,24.734170000000002,26.14262,25.671039999999998,25.21745,24.94436,24.826,25.08371,24.745910000000002
71,24.904770000000003,25.14126,25.13751,25.48646,24.79927,26.03078,25.4593,25.40311,25.16208,25.03796,24.9914,25.35797
72,23.460639999999998,23.21976,23.09007,23.13085,22.588379999999997,24.383570000000002,23.73923,23.07959,21.05636,23.11445,23.70166,23.19439
73,,22.43913,22.31222,,19.8271,20.65325,,22.7131,21.98624,21.63993,,20.24551
74,28.81069,29.18804,29.1874,28.907329999999998,28.355859999999996,29.9538,29.27233,28.970190000000002,28.820040000000002,28.569390000000002,28.442290000000003,28.9232
75,27.70127,28.37472,28.09637,28.41627,28.1725,26.977490000000003,27.95577,28.436940000000003,28.00045,,27.89163,27.493809999999996
76,25.74237,26.203129999999998,26.12345,26.03949,25.11613,26.16831,26.31135,26.0092,25.39136,25.62235,25.503120000000003,25.67495
77,21.03181,22.373720000000002,21.69205,21.34402,21.23929,20.93891,21.93998,22.3424,22.240370000000002,20.94421,19.89426,20.39592
78,26.6979,26.72195,26.834490000000002,27.15682,26.401940000000003,27.805259999999997,27.09899,26.641820000000003,26.198710000000002,26.13048,26.38004,26.6088
79,29.259590000000003,28.75337,29.287709999999997,29.879,29.14798,30.10812,28.78388,29.040459999999996,29.252709999999997,28.17183,28.84233,28.675159999999998
80,23.50894,23.89162,23.24529,23.5715,23.413510000000002,23.11111,23.80479,23.90021,23.622320000000002,23.90012,23.49997,23.57335
81,24.66471,25.067510000000002,25.14495,25.561999999999998,24.99533,26.03655,25.140279999999997,25.1439,24.86712,24.69657,24.88995,25.091479999999997
82,22.46354,22.74509,22.79972,23.02454,22.41183,24.1653,22.85163,21.87343,21.730529999999998,22.80656,22.76977,22.45164
83,26.247909999999997,26.178620000000002,26.48145,26.30248,26.04404,26.92965,25.994510000000002,26.18499,25.81756,25.66476,26.119020000000003,26.33241
84,24.290670000000002,23.909670000000002,24.38166,24.725360000000002,23.491789999999998,25.419439999999998,24.784370000000003,23.766479999999998,23.694129999999998,24.60603,24.42438,24.77861
85,22.04394,21.579710000000002,22.23096,22.530079999999998,22.350839999999998,23.02741,22.18776,22.37409,22.38084,20.593410000000002,21.07045,20.905070000000002
86,22.631610000000002,23.10727,23.1651,22.55773,21.81746,22.89151,23.25279,22.502010000000002,22.18855,22.633010000000002,22.21875,22.551170000000003
87,22.81219,22.44526,22.38685,22.665210000000002,22.699370000000002,21.21715,22.68318,22.2739,22.1399,21.996489999999998,22.30045,20.9025
88,26.510279999999998,26.851740000000003,26.67855,26.831709999999998,26.132179999999998,26.99335,26.76053,26.21332,25.902279999999998,25.25007,25.644170000000003,26.006610000000002
89,26.22948,26.13289,26.23343,26.184520000000003,25.48087,26.697370000000003,26.5479,26.15902,25.782239999999998,26.01067,25.84115,26.091739999999998
90,22.90856,21.53592,23.53564,23.05398,22.85846,23.51761,23.04896,22.34283,21.86978,22.78688,22.303179999999998,22.95534
91,25.91657,25.98227,25.8983,25.87828,25.522289999999998,25.85303,25.6593,25.60003,25.38798,25.5636,25.528589999999998,25.65881
92,22.79348,21.069329999999997,20.39425,24.375239999999998,22.75236,24.03187,24.1673,22.28351,22.83154,23.54428,23.23936,23.825120000000002
93,27.1776,27.220390000000002,27.29833,27.765279999999997,27.05827,28.16739,27.23361,26.98739,26.558709999999998,27.324140000000003,27.407220000000002,27.84344
94,22.38427,23.08018,23.017689999999998,22.324,22.14105,22.14945,22.3157,22.237389999999998,22.06296,21.618489999999998,21.99459,22.46973
95,23.902420000000003,24.32292,24.636110000000002,24.31631,23.7959,24.18971,23.95996,23.546039999999998,23.96076,23.75593,23.72713,23.7291
96,23.26999,24.08034,23.680670000000003,22.870810000000002,21.82299,23.30591,23.934,22.556279999999997,22.3788,23.29348,23.19156,23.64185
